iter	Passed	Remaining
848	1475	262
849	1479	261
850	1481	259
851	1482	257
852	1484	255
853	1485	253
854	1486	252
855	1488	250
856	1489	248
857	1492	246
858	1495	245
859	1496	243
860	1498	241
861	1499	240
862	1500	238
863	1501	236
864	1503	234
865	1504	232
866	1505	230
867	1508	229
868	1509	227
869	1511	225
870	1512	224
871	1513	222
872	1514	220
873	1515	218
874	1516	216
875	1517	214
876	1518	213
877	1520	211
878	1524	209
879	1526	208
880	1527	206
881	1528	204
882	1529	202
883	1530	200
884	1531	198
885	1531	197
886	1532	195
887	1533	193
888	1534	191
889	1536	189
890	1537	188
891	1539	186
892	1540	184
893	1542	182
894	1543	181
895	1544	179
896	1545	177
897	1546	175
898	1547	173
899	1548	172
900	1551	170
901	1552	168
902	1553	166
903	1554	165
904	1555	163
905	1556	161
906	1557	159
907	1558	157
908	1559	156
909	1559	154
910	1560	152
911	1561	150
912	1562	148
913	1563	147
914	1564	145
915	1566	143
916	1567	141
917	1568	140
918	1568	138
919	1569	136
920	1570	134
921	1571	132
922	1572	131
923	1573	129
924	1574	127
925	1575	125
926	1575	124
927	1576	122
928	1577	120
929	1578	118
930	1580	117
931	1581	115
932	1582	113
933	1583	111
934	1584	110
935	1585	108
936	1586	106
937	1586	104
938	1587	103
939	1588	101
940	1589	99
941	1590	97
942	1591	96
943	1591	94
944	1592	92
945	1594	91
946	1595	89
947	1596	87
948	1597	85
949	1598	84
950	1599	82
951	1600	80
952	1601	78
953	1602	77
954	1604	75
955	1605	73
956	1606	72
957	1607	70
958	1609	68
959	1610	67
960	1610	65
961	1611	63
962	1612	61
963	1613	60
964	1614	58
965	1615	56
966	1616	55
967	1616	53
968	1617	51
969	1618	50
970	1619	48
971	1619	46
972	1620	44
973	1621	43
974	1623	41
975	1624	39
976	1625	38
977	1626	36
978	1627	34
979	1628	33
980	1629	31
981	1629	29
982	1630	28
983	1631	26
984	1632	24
985	1633	23
986	1634	21
987	1634	19
988	1635	18
989	1636	16
990	1638	14
991	1639	13
992	1640	11
993	1641	9
994	1642	8
995	1643	6
996	1644	4
997	1645	3
998	1646	1
999	1647	0
